ID,parent_ID,restrictionRef*,bridgeRef,bridge_ID,name,descr,restrictionCategory*,restrictionType*,restrictionValue,restrictionUnit,restrictionStatus*,appliesToVehicleClass,grossMassLimit,axleMassLimit,heightLimit,widthLimit,lengthLimit,speedLimit,permitRequired,escortRequired,temporary,active,effectiveFrom,effectiveTo,approvedBy,direction,enforcementAuthority,temporaryFrom,temporaryTo,temporaryReason,approvalReference,issuingAuthority,legalReference,remarks,gazetteNumber,gazettePublicationDate,gazetteExpiryDate,reviewDueDate,approvalDate,restrictionReason,detourRoute,conditionTrigger,pbsClassApplicable,grossCombinationLimit,tandemAxleLimit,triAxleLimit,steerAxleLimit,pilotVehicleCount,signageRequired,restrictionSeverity,laneAvailability,lanesOpen,lanesTotal,laneWidthLimit
,,HVR-8293725,10,,Load limit - Ocean Drive,,Permanent,Load Limit,18,t,Active,,18,,,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-8655657,A1,,Height limit - Pacific Highway,,Permanent,Height Limit,5.2,m,Active,,,,5.2,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-9283690,OSM-9283690,,Height limit - Lily Street,,Permanent,Height Limit,6.6,m,Active,,,,6.6,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-9462008,OSM-9462008,,Load limit - Argyle Street (Cowpasture Bridge),,Permanent,Load Limit,44,t,Active,,44,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-10042182,OSM-10042182,,Load limit - Wentworth Avenue,,Permanent,Load Limit,5,t,Active,,5,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-10828091,OSM-10828091,,Load limit - Lambs Road,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-11635745,OSM-11635745,,Load limit - Ashley Street,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-15077793,OSM-15077793,,Load limit - Steele Bridge,,Permanent,Load Limit,15.7,t,Active,,15.7,,4.2,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-15784547,OSM-15784547,,Load limit - Oakes Road,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-21048321,OSM-21048321,,Load limit - Mitchells Pass,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-22945511,OSM-22945511,,Load limit - Adderton Road,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-23009794,OSM-23009794,,Load limit - Constitution Road,,Permanent,Load Limit,19,t,Active,,19,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-23186652,OSM-23186652,,Load limit - Belgrave Esplanade,,Permanent,Load Limit,4.5,t,Active,,4.5,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-23249728,OSM-23249728,,Height limit - Ulgundahi View,,Permanent,Height Limit,5.3,m,Active,,,,5.3,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-23249742,OSM-23249742,,Height limit - Blackwall Drive,,Permanent,Height Limit,5.1,m,Active,,,,5.1,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-23256484,OSM-23256484,,Load limit - Belgrave Esplanade,,Permanent,Load Limit,4.5,t,Active,,4.5,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-23324534,7626,,Load limit - The Snowy River Way,,Permanent,Load Limit,42.5,t,Active,,42.5,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-23634091,OSM-23634091,,Load limit - Pomeroy Street,,Permanent,Load Limit,10,t,Active,,10,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-23792264,OSM-23792264,,Load limit - Carson Street,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-23801113,OSM-23801113,,Load limit - Cherry Street,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-23839349,A1,,Load limit - Princes Highway,,Permanent,Axle Group Limit,21,t,Active,,,21,,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-23839466,9,,Load limit - Tathra Bermagui Road,,Permanent,Load Limit,15,t,Active,,15,,,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-24708010,OSM-24708010,,Load limit - Cooper Road,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-24781273,OSM-24781273,,Load limit - Melanie Street,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-25435271,OSM-25435271,,Load limit - Moxhams Road,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-26404688,B73;8,,Load limit - Moss Vale Road,,Permanent,Load Limit,42.5,t,Active,,42.5,,4.9,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-26406697,OSM-26406697,,Load limit - Kanahooka Road,,Permanent,Load Limit,5,t,Active,,5,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-28085712,18,,Load limit - Hogbin Drive North,,Permanent,Load Limit,15,t,Active,,15,,,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-28394572,OSM-28394572,,Load limit - Hogbin Drive,,Permanent,Load Limit,15,t,Active,,15,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-29197029,OSM-29197029,,Load limit - Bridge Road,,Permanent,Load Limit,12,t,Active,,12,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-30368885,18,,Height limit - Keevers Drive,,Permanent,Height Limit,5.2,m,Active,,,,5.2,,,,,,,true,,,,,Transport for NSW (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-30434733,OSM-30434733,,Load limit - Brewongle Lane,,Permanent,Load Limit,10,t,Active,,10,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-30738624,OSM-30738624,,Load limit - Prince Street,,Permanent,Load Limit,5,t,Active,,5,,2.4,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-30738793,OSM-30738793,,Load limit - Bargo River Road,,Permanent,Load Limit,15,t,Active,,15,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-30739327,OSM-30739327,,Load limit - Bridge Street,,Permanent,Load Limit,15,t,Active,,15,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-31277595,OSM-31277595,,Load limit - Montem Street,,Permanent,Load Limit,6,t,Active,,6,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-31341962,OSM-31341962,,Height limit - Rocket Street,,Permanent,Height Limit,4.5,m,Active,,,,4.5,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-31410511,OSM-31410511,,Load limit - Macs Reef Road,,Permanent,Load Limit,10,t,Active,,10,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-31539875,OSM-31539875,,Height limit - Hoskinstown Road,,Permanent,Height Limit,3.0,m,Active,,,,3.0,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-34413981,OSM-34413981,,Load limit - Cooerwull Road,,Permanent,Load Limit,5,t,Active,,5,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-34744304,OSM-34744304,,Height limit - Manning River Drive,,Permanent,Height Limit,5.2,m,Active,,,,5.2,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-35403596,OSM-35403596,,Load limit - Cecil Road,,Permanent,Axle Group Limit,6,t,Active,,,6,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-37891321,OSM-37891321,,Load limit - Sandy Creek Road,,Permanent,Load Limit,20,t,Active,,20,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-38099683,OSM-38099683,,Height limit - Bombala Line,,Permanent,Height Limit,3.2,m,Active,,,,3.2,,,,,,,true,,,,,Transport Asset Holding Entity (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-39247181,OSM-39247181,,Load limit - Matthews Lane,,Permanent,Load Limit,6,t,Active,,6,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-39335982,OSM-39335982,,Load limit - Wooyung Road,,Permanent,Load Limit,14.5,t,Active,,14.5,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
