ID,descr,bridgeId,bridgeName*,assetClass,route,routeNumber,state*,region,lga,latitude*,longitude*,location,assetOwner*,managingAuthority,structureType,yearBuilt,designLoad,designStandard,clearanceHeight,spanLength,material,spanCount,totalLength,deckWidth,numberOfLanes,condition,conditionRating,structuralAdequacyRating,postingStatus,conditionStandard,seismicZone,asBuiltDrawingReference,floodImmunityAriYears,floodImpacted,highPriorityAsset,remarks,status,lastInspectionDate,nhvrAssessed,nhvrAssessmentDate,loadRating,pbsApprovalClass,importanceLevel,averageDailyTraffic,heavyVehiclePercent,gazetteReference,nhvrReferenceUrl,freightRoute,overMassRoute,hmlApproved,bDoubleApproved,dataSource,sourceReferenceUrl,openDataReference,sourceRecordId,restriction_ID,geoJson
,,OSM-4000052,Cliff Top Board Walk,Pedestrian Bridge,,,NSW,Sydney Metropolitan,,-33.867521,151.283696,,Local Council (inferred),,Boardwalk,,,,,,,,72,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4000052,OSM:way/4000052,4000052,,"{""type"":""LineString"",""coordinates"":[[151.283697,-33.8673131],[151.2836965,-33.8673417],[151.2836586,-33.8673858],[151.2836345,-33.8674788],[151.2836559,-33.8675406],[151.2837211,-33.8676588],[151.2838067,-33.8679265]]}"
,,OSM-4040193,Kyogle Road,Road Bridge,,,NSW,Northern Rivers,,-28.601789,153.037503,,Local Council (inferred),,Beam Bridge,,,,,,,,37,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4040193,OSM:way/4040193,4040193,,"{""type"":""LineString"",""coordinates"":[[153.0376843,-28.6018312],[153.0373212,-28.6017463]]}"
,,M31,Hume Highway,Road Bridge,,M31,NSW,South East & Tablelands,,-34.78671,149.657018,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,59,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4175320,OSM:way/4175320,4175320,,"{""type"":""LineString"",""coordinates"":[[149.6572946,-34.7865722],[149.6567409,-34.7868488]]}"
,,M23,Federal Highway,Road Bridge,,M23,NSW,South East & Tablelands,,-34.923736,149.426281,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,183,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4176410,OSM:way/4176410,4176410,,"{""type"":""LineString"",""coordinates"":[[149.4255289,-34.9244743],[149.4264871,-34.923516],[149.4268265,-34.9232191]]}"
,,A1,Princes Highway,Road Bridge,,A1,NSW,South East & Tablelands,,-35.388406,150.44623,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,287,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4286550,OSM:way/4286550,4286550,,"{""type"":""LineString"",""coordinates"":[[150.4447493,-35.3888573],[150.4477101,-35.3879547]]}"
,,B53,Main Road,Road Bridge,,B53,NSW,Central Coast,,-33.084824,151.500643,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,161,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4294952,OSM:way/4294952,4294952,,"{""type"":""LineString"",""coordinates"":[[151.5003587,-33.0855064],[151.5009264,-33.0841416]]}"
,,B63,Teal Street,Road Bridge,,B63,NSW,Hunter,,-32.884475,151.787748,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,1016,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4295432,OSM:way/4295432,4295432,,"{""type"":""LineString"",""coordinates"":[[151.7809868,-32.8847974],[151.7819914,-32.8847763],[151.7826746,-32.8847526],[151.7850401,-32.8846591],[151.7863231,-32.8846147],[151.7869301,-32.8845881],[151.7892274,-32.8845005],[151.7897002,-32.8844803],[151.7900526,-32.884458],[151.7903009,-32.8844248],[151.7907429,-32.8843407],[151.7911917,-32.8842101],[151.7915583,-32.8840718],[151.7917516,-32.8839734]]}"
,,16,Giinagay Way,Road Bridge,,16,NSW,Mid North Coast,,-30.492059,153.012963,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,235,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4298478,OSM:way/4298478,4298478,,"{""type"":""LineString"",""coordinates"":[[153.0137785,-30.4928465],[153.0121478,-30.4912719]]}"
,,22,Craig Street,Road Bridge,,22,NSW,Regional NSW,,-29.698101,152.942151,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,370,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4298725,OSM:way/4298725,4298725,,"{""type"":""LineString"",""coordinates"":[[152.9424604,-29.6994683],[152.9423047,-29.6987839],[152.942115,-29.6979484],[152.9417257,-29.6962021]]}"
,,M5,M5 Motorway,Road Bridge,,M5,NSW,Sydney Metropolitan,,-33.93913,150.919405,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,286,,4,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4305946,OSM:way/4305946,4305946,,"{""type"":""LineString"",""coordinates"":[[150.9209399,-33.9393032],[150.9178705,-33.9389578]]}"
,,OSM-4331725,Port Botany Freight Line,Rail Bridge,,,NSW,Sydney Metropolitan,,-33.937419,151.196276,,Transport Asset Holding Entity (inferred),,Beam Bridge,,,,,,,,74,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4331725,OSM:way/4331725,4331725,,"{""type"":""LineString"",""coordinates"":[[151.1959301,-33.9373358],[151.1961184,-33.9373892],[151.1963509,-33.9374422],[151.1967063,-33.9375074]]}"
,,A1,General Holmes Drive,Road Bridge,,A1,NSW,Sydney Metropolitan,,-33.947735,151.167077,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,172,,3,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4331807,OSM:way/4331807,4331807,,"{""type"":""LineString"",""coordinates"":[[151.1677949,-33.9472427],[151.16636,-33.9482277]]}"
,,OSM-4334262,Cahill Expressway,Road Bridge,,,NSW,Sydney Metropolitan,,-33.861119,151.207453,,Local Council (inferred),,Beam Bridge,,,,,,,,122,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4334262,OSM:way/4334262,4334262,,"{""type"":""LineString"",""coordinates"":[[151.2080854,-33.8611767],[151.2077496,-33.8611461],[151.2072098,-33.8610911],[151.2067668,-33.8610632]]}"
,,OSM-4336109,Pacific Highway Offramp,Road Bridge,,,NSW,Sydney Metropolitan,,-33.606091,151.163794,,Local Council (inferred),,Beam Bridge,,,,,,,,129,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4336109,OSM:way/4336109,4336109,,"{""type"":""LineString"",""coordinates"":[[151.1644677,-33.6059476],[151.1631201,-33.6062336]]}"
,,B83,Pacific Highway,Road Bridge,,B83,NSW,Sydney Metropolitan,,-33.60649,151.16198,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,65,,1,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4336112,OSM:way/4336112,4336112,,"{""type"":""LineString"",""coordinates"":[[151.1621804,-33.6062517],[151.1617795,-33.6067274]]}"
,,B83,Pacific Highway,Road Bridge,,B83,NSW,Sydney Metropolitan,,-33.558935,151.192617,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,82,,3,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4336210,OSM:way/4336210,4336210,,"{""type"":""LineString"",""coordinates"":[[151.1922465,-33.5591344],[151.1929875,-33.5587347]]}"
,,B83,Pacific Highway,Road Bridge,,B83,NSW,Central Coast,,-33.540123,151.198909,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,285,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4336327,OSM:way/4336327,4336327,,"{""type"":""LineString"",""coordinates"":[[151.1986186,-33.5413801],[151.1991987,-33.5388651]]}"
,,OSM-4336535,Russell Street Offramp,Road Bridge,,,NSW,Sydney Metropolitan,,-33.76004,150.652911,,Local Council (inferred),,Beam Bridge,,,,,,,,47,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4336535,OSM:way/4336535,4336535,,"{""type"":""LineString"",""coordinates"":[[150.6531444,-33.7601228],[150.6526773,-33.7599569]]}"
,,M4,Western Motorway,Road Bridge,,M4,NSW,Sydney Metropolitan,,-33.76433,150.659359,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,325,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4336537,OSM:way/4336537,4336537,,"{""type"":""LineString"",""coordinates"":[[150.6606431,-33.7653295],[150.6580749,-33.7633313]]}"
,,A44,Great Western Highway,Road Bridge,,A44,NSW,Sydney Metropolitan,,-33.769235,150.762257,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,62,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4336617,OSM:way/4336617,4336617,,"{""type"":""LineString"",""coordinates"":[[150.7619334,-33.7691613],[150.7625796,-33.7693084]]}"
,,OSM-4354468,Parsley Bay Bridge,Shared Path Bridge,,,NSW,Sydney Metropolitan,,-33.850829,151.277129,,Local Council (inferred),,Beam Bridge,,,,,,,,59,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4354468,OSM:way/4354468,4354468,,"{""type"":""LineString"",""coordinates"":[[151.2768609,-33.850974],[151.2773977,-33.8506846]]}"
,,OSM-4368596,Darling Drive,Road Bridge,,,NSW,Sydney Metropolitan,,-33.870697,151.198424,,Local Council (inferred),,Beam Bridge,,,,,,,,112,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4368596,OSM:way/4368596,4368596,,"{""type"":""LineString"",""coordinates"":[[151.1982631,-33.8703202],[151.1983353,-33.8704131],[151.1983777,-33.8704803],[151.198414,-33.8705543],[151.1984477,-33.8706333],[151.1984669,-33.8706945],[151.1984841,-33.8707737],[151.198491,-33.8708609],[151.1984917,-33.8709443],[151.1984674,-33.8712908]]}"
,,OSM-4368600,Western Distributor Onramp,Road Bridge,,,NSW,Sydney Metropolitan,,-33.873593,151.200712,,Local Council (inferred),,Viaduct,,,,,,,,184,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4368600,OSM:way/4368600,4368600,,"{""type"":""LineString"",""coordinates"":[[151.1995508,-33.8738747],[151.1999904,-33.8737759],[151.2005396,-33.8736424],[151.2009668,-33.8735337],[151.2011586,-33.8734839],[151.2013217,-33.8734335],[151.2014579,-33.8734083]]}"
,,OSM-4368601,Bathurst Street Offramp,Road Bridge,,,NSW,Sydney Metropolitan,,-33.874642,151.197755,,Local Council (inferred),,Viaduct,,,,,,,,87,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4368601,OSM:way/4368601,4368601,,"{""type"":""LineString"",""coordinates"":[[151.1972585,-33.8747779],[151.1974418,-33.874747],[151.1978872,-33.8746097],[151.198046,-33.8745549],[151.1981439,-33.8745216]]}"
,,OSM-4368604,Bathurst Street Offramp,Road Bridge,,,NSW,Sydney Metropolitan,,-33.874071,151.200676,,Local Council (inferred),,Viaduct,,,,,,,,110,,3,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4368604,OSM:way/4368604,4368604,,"{""type"":""LineString"",""coordinates"":[[151.2000358,-33.8741555],[151.2004137,-33.8741027],[151.2007119,-33.8740645],[151.2009992,-33.8740275],[151.2012185,-33.8740047]]}"
,,A3,Concord Road,Road Bridge,,A3,NSW,Sydney Metropolitan,,-33.822787,151.096212,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,80,,4,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4377272,OSM:way/4377272,4377272,,"{""type"":""LineString"",""coordinates"":[[151.096509,-33.8225906],[151.0962925,-33.8227327],[151.0958334,-33.8230379]]}"
,,A3,Homebush Bay Drive,Road Bridge,,A3,NSW,Sydney Metropolitan,,-33.853999,151.077141,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,87,,3,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/4385571,OSM:way/4385571,4385571,,"{""type"":""LineString"",""coordinates"":[[151.0767821,-33.8541884],[151.0770309,-33.8540605],[151.077179,-33.8539869],[151.0775729,-33.8537604]]}"
